,city,cloudiness,country,date,humidity,latitude,longitude,max_temperature,wind_speed
369,Alta Floresta,21,BR,1563678342,53,-9.87,-56.08,73.49,3.53
370,Port-Gentil,100,GA,1563678342,82,-0.72,8.78,75.11,9.46
371,Saint George,20,GR,1563678342,82,39.45,22.34,73.99,1.54
372,Oranjemund,0,ZA,1563678342,53,-28.55,16.43,60.53,12.8
373,Cairns,90,AU,1563678316,60,-16.92,145.77,80.01,14.99
374,Adrar,0,DZ,1563678343,10,27.87,-0.29,95.0,4.7
375,Tuatapere,78,NZ,1563678343,96,-46.13,167.69,51.01,3.0
376,Hay River,40,CA,1563678343,50,60.82,-115.79,75.2,8.05
377,Forest Grove,1,US,1563678343,28,45.52,-123.11,84.2,11.41
378,Petersburg,1,US,1563678197,74,37.23,-77.4,87.01,4.7
379,Buraydah,0,SA,1563678343,36,26.33,43.97,77.0,3.36
380,Xucheng,0,CN,1563678344,50,33.0,118.51,92.21,2.93
381,Puerto Madryn,100,AR,1563678344,73,-42.77,-65.04,46.31,14.88
382,Goba,100,ET,1563678344,79,7.01,39.97,46.49,2.84
383,Mossendjo,51,CG,1563678344,98,-2.95,12.72,65.03,1.57
384,Suez,0,EG,1563678345,85,29.97,32.54,68.45,6.42
385,Guymon,1,US,1563678345,40,36.68,-101.48,93.2,19.46
386,Gombe,9,NG,1563678345,92,10.28,11.16,70.43,10.58
387,Moussoro,100,TD,1563678345,62,13.64,16.49,82.31,5.48
388,Jalu,0,LY,1563678345,50,29.03,21.55,73.67,8.57
389,Myskhako,40,RU,1563678346,77,44.66,37.76,68.0,6.71
390,Arona,40,IT,1563678346,88,45.76,8.56,75.99,5.82
391,Susanville,1,US,1563678346,25,40.42,-120.65,86.0,6.93
392,Casma,0,PE,1563678346,90,-9.47,-78.3,61.61,6.78
393,Vihti,0,FI,1563678347,93,60.42,24.32,59.0,2.24
394,Tarauaca,0,BR,1563678347,71,-8.16,-70.77,73.13,0.96
395,Emmett,1,US,1563678347,21,43.87,-116.5,87.8,5.82
396,Cedar City,1,US,1563678193,11,37.68,-113.06,84.2,10.29
397,Rosario do Sul,41,BR,1563678348,84,-30.26,-54.91,65.57,14.29
398,Lumsden,20,CA,1563678348,52,50.65,-104.86,69.8,9.17
399,Bilibino,84,RU,1563678348,44,68.06,166.44,47.57,7.76
400,Mayumba,100,GA,1563678348,92,-3.44,10.65,70.79,2.89
401,Podor,4,MR,1563678348,63,16.65,-14.96,81.23,8.05
402,Hendersonville,90,US,1563678297,88,36.3,-86.62,77.0,4.7
403,Zelenets,0,RU,1563678349,86,53.83,48.02,60.71,9.53
404,Pangkalanbuun,47,ID,1563678349,61,-2.68,111.62,87.17,5.32
405,Kenai,90,US,1563678349,77,60.55,-151.26,66.99,12.75
406,Honningsvag,4,NO,1563678349,83,70.98,25.97,50.63,3.51
407,Steamboat Springs,40,US,1563678350,40,40.48,-106.83,71.6,11.41
408,Laguna,90,BZ,1563678350,88,16.17,-88.94,78.8,1.68
409,San Cristobal,82,HN,1563678350,94,14.68,-86.92,66.83,3.83
410,Hambantota,75,LK,1563678350,79,6.12,81.12,84.2,9.17
411,Chara,20,GR,1563678350,82,39.42,22.43,73.99,1.54
412,Auki,61,NG,1563678350,73,12.18,6.51,72.77,12.01
413,Dandong,100,CN,1563678351,80,40.12,124.37,81.05,7.11
414,La Sarre,73,CA,1563678351,83,48.8,-79.2,61.97,9.95
415,Khani,90,GE,1563678351,100,41.96,42.96,69.8,2.24
416,Pochutla,75,MX,1563678351,79,15.74,-96.47,84.2,2.73
417,Kokopo,0,PG,1563678352,53,-4.34,152.27,86.99,5.35
418,Constitucion,90,MX,1563678352,59,23.99,-104.67,66.99,6.93
419,Taunggyi,96,MM,1563678352,83,20.78,97.03,77.09,4.76
420,Montlucon,36,FR,1563678352,80,46.33,2.6,66.99,1.01
421,El Alto,40,BO,1563678136,86,-16.5,-68.19,37.4,2.24
422,Obo,41,CF,1563678352,98,5.39,26.49,65.75,2.66
423,Miyako,75,JP,1563678353,100,33.63,130.94,79.0,13.87
424,Belyy Yar,40,RU,1563678353,87,53.6,91.39,60.8,4.07
425,Saluzzo,0,IT,1563678353,83,44.64,7.49,73.99,1.12
426,Ilo,9,PE,1563678353,90,-17.65,-71.34,56.93,5.95
427,New Richmond,90,CA,1563678353,78,48.17,-65.87,73.4,13.87
428,Cockburn Town,0,TC,1563678354,77,21.46,-71.14,82.49,11.5
429,Pacific Grove,1,US,1563678354,68,36.62,-121.92,70.0,13.87
430,Rosita,99,NI,1563678354,98,13.92,-84.4,74.39,1.32
431,Chiang Khong,40,LA,1563678354,88,20.27,100.41,81.0,1.12
432,Namibe,0,AO,1563678354,83,-15.19,12.15,68.45,3.09
433,Otradnoye,0,RU,1563678355,87,59.77,30.8,60.01,6.71
434,Surazh,5,RU,1563678355,88,53.01,32.39,58.37,2.8
435,Hamilton,90,CA,1563678355,100,43.26,-79.87,75.0,8.05
436,Champerico,90,MX,1563678355,94,16.38,-93.6,71.6,5.82
437,Lubliniec,0,PL,1563678355,77,50.67,18.68,68.0,5.82
438,Sumbe,22,AO,1563678356,83,-11.2,13.84,70.61,2.57
439,Jaguaribe,97,BR,1563678356,90,-5.88,-38.62,70.97,9.17
440,Qaqortoq,100,GL,1563678356,81,60.72,-46.03,50.0,3.36
441,Sal Rei,75,CV,1563678356,73,16.18,-22.92,75.2,12.75
442,Aljezur,0,PT,1563678357,71,37.31,-8.8,70.0,21.0
443,Teknaf,100,BD,1563678357,77,20.86,92.31,84.83,5.79
444,Kalmunai,100,LK,1563678357,61,7.42,81.82,82.85,7.47
445,Salciile,0,RO,1563678357,100,44.82,26.48,66.99,3.36
446,Walvis Bay,0,NA,1563678358,67,-22.95,14.51,62.6,10.29
447,Nyurba,0,RU,1563678358,34,63.29,118.35,71.51,4.61
448,Sobolevo,0,RU,1563678358,87,54.43,31.9,53.15,4.63
449,Nhulunbuy,75,AU,1563678358,61,-12.18,136.78,78.8,14.99
450,Solnechnyy,100,RU,1563678358,78,50.72,136.64,75.47,4.38
451,Khartoum,0,SD,1563678295,48,15.59,32.54,86.0,6.93
452,Casablanca,75,MA,1563678359,100,33.6,-7.62,72.0,4.7
453,Dawson Creek,75,CA,1563678359,56,55.76,-120.23,71.6,6.93
454,Antofagasta,90,CL,1563678206,76,-23.65,-70.4,57.2,5.82
455,Arlit,88,NE,1563678269,42,18.74,7.39,89.33,8.14
456,Simbahan,100,PH,1563678359,71,6.3,120.58,82.85,4.92
457,Nadym,42,RU,1563678360,58,65.53,72.51,78.53,7.83
458,Najran,0,SA,1563678360,23,17.54,44.22,78.8,4.7
459,San Joaquin,99,PH,1563678360,66,10.59,122.14,86.45,4.7
460,Perth,75,AU,1563678360,72,-31.95,115.86,66.0,14.99
461,Touros,75,BR,1563678360,100,-5.2,-35.46,73.4,4.7
462,Matagami,86,NG,1563678361,98,9.67,8.4,67.19,2.51
463,Lalmohan,8,BD,1563678361,64,22.34,90.74,89.33,6.53
464,Barbosa Ferraz,0,BR,1563678361,56,-24.03,-52.01,68.0,14.99
465,Zapolyarnyy,43,RU,1563678361,87,69.43,30.82,53.6,9.17
466,Saint Anthony,1,US,1563678361,29,43.97,-111.68,80.6,10.29
467,San Mateo Ixtatan,100,GT,1563678362,92,15.83,-91.48,60.17,5.01
468,Vrangel,97,RU,1563678362,86,42.73,133.08,74.39,10.96
469,Kant,0,KG,1563678362,42,42.89,74.85,80.6,6.71
470,Alto Araguaia,100,BR,1563678363,51,-17.32,-53.22,65.39,3.85
471,Boende,83,CD,1563678363,95,-0.28,20.88,70.07,1.63
472,Jatai,0,IN,1563678363,52,28.97,76.18,94.19,9.37
473,Makuyuni,42,TZ,1563678363,96,-5.02,38.33,61.07,1.66
474,Bayburt,94,TR,1563678363,94,40.26,40.22,51.17,6.06
475,Fortuna,0,ES,1563678275,47,38.18,-1.13,78.01,1.63
476,Muli,100,CN,1563678364,80,28.08,109.56,83.57,2.98
477,Sitka,0,US,1563678364,48,37.17,-99.65,84.99,5.01
478,Ostersund,100,SE,1563678364,87,63.18,14.64,57.99,8.05
479,Alghero,0,IT,1563678364,88,40.56,8.32,68.0,1.12
480,Bunia,100,CD,1563678365,99,1.56,30.25,62.87,1.14
481,San Jose el Alto,75,MX,1563678276,72,20.65,-100.37,64.4,11.41
482,Dusti,0,TJ,1563678365,37,37.35,68.68,86.0,2.24
483,Hofn,100,IS,1563678185,98,64.25,-15.21,39.65,6.62
484,Parintins,0,BR,1563678365,69,-2.63,-56.73,75.47,3.94
485,Mackay,20,CA,1563678365,56,53.65,-115.58,69.8,5.82
486,Ajaccio,0,FR,1563678366,72,41.93,8.74,71.6,6.93
487,Camocim,0,BR,1563678366,78,-2.9,-40.84,73.49,6.58
488,Lodwar,7,KE,1563678366,50,3.12,35.6,77.99,14.94
489,Xichang,100,CN,1563678366,96,27.88,102.25,63.59,3.6
490,La Rioja,100,AR,1563678367,30,-29.41,-66.86,56.75,4.61
491,Moroni,20,GR,1563678367,69,35.09,24.92,75.99,14.99
492,Flinders,0,AU,1563678367,35,-34.58,150.85,72.0,25.28
493,Quatre Cocos,20,MU,1563678367,100,-20.21,57.76,69.01,4.7
494,Manaure,0,CO,1563678367,76,11.78,-72.45,79.43,26.22
495,Voh,0,NC,1563678368,67,-20.95,164.69,68.99,25.52
496,Paita,0,PE,1563678368,91,-5.09,-81.11,63.23,14.99
497,Clarence Town,0,AU,1563678368,46,-32.59,151.78,73.0,1.01
498,Taree,0,AU,1563678368,24,-31.91,152.46,73.99,11.41
499,Sohagpur,0,IN,1563678369,53,22.7,78.2,89.51,3.78
500,Salumbar,40,IN,1563678369,78,24.14,74.05,82.4,8.14
501,Caraballeda,20,VE,1563678116,74,10.61,-66.85,78.8,4.63
502,Creston,1,CA,1563678369,45,49.1,-116.52,66.2,8.05
503,Bolivar,1,US,1563678136,74,37.61,-93.41,84.2,4.7
504,Taitung,75,TW,1563678370,79,22.76,121.15,84.2,1.12
505,Hokitika,12,NZ,1563678370,67,-42.72,170.96,56.39,3.83
506,Bari,0,IT,1563678370,77,41.13,16.86,71.01,4.7
507,Lagos,20,NG,1563678203,88,6.46,3.39,77.0,3.36
508,Albion,90,US,1563678332,83,41.69,-98.0,75.2,8.05
509,Ranong,40,TH,1563678371,83,9.96,98.62,82.4,15.61
510,Kralendijk,0,BQ,1563678371,74,12.15,-68.27,82.4,20.8
511,Souillac,0,FR,1563678371,93,45.6,-0.6,68.0,1.12
512,Srandakan,93,ID,1563678371,83,-7.94,110.25,76.37,14.99
513,Celestun,7,MX,1563678371,79,20.87,-90.4,83.03,14.34
514,Saint-Augustin,40,CA,1563678372,94,45.63,-73.98,80.01,3.36
515,Weligama,100,LK,1563678372,75,5.97,80.42,83.75,22.82
516,Murray,1,US,1563678372,34,40.67,-111.89,87.8,6.93
517,Burnie,86,AU,1563678372,60,-41.05,145.91,54.0,7.0
518,Tvedestrand,100,NO,1563678373,100,58.62,8.93,60.8,2.24
519,Wellington,100,NZ,1563678338,87,-41.29,174.78,54.0,8.05
520,Batagay-Alyta,98,RU,1563678373,43,67.8,130.41,60.71,26.13
521,Vilhena,100,BR,1563678251,53,-12.74,-60.15,73.67,3.15
522,La Asuncion,0,AR,1563678373,17,-26.05,-65.39,58.55,11.3
523,Verkhoyansk,89,RU,1563678373,41,67.55,133.39,67.19,10.8
524,Calceta,0,EC,1563678374,94,-0.85,-80.16,71.6,9.17
525,San Antonio,90,CL,1563678374,87,-33.58,-71.61,51.8,5.82
526,Camabatela,27,AO,1563678374,99,-8.19,15.37,57.11,1.12
527,Sokoni,0,CD,1563678374,54,-12.89,28.78,49.19,2.46
528,Oriximina,0,BR,1563678374,69,-1.77,-55.87,79.79,5.82
529,Sandwick,0,GB,1563678374,100,54.57,-2.89,61.0,4.7
530,Seddon,75,AU,1563678375,58,-37.81,144.89,60.01,18.34
531,Isangel,40,VU,1563678375,57,-19.55,169.27,77.0,9.17
532,Luleburgaz,0,TR,1563678375,100,41.4,27.36,68.0,10.29
533,Khunti,40,IN,1563678375,83,23.08,85.28,78.8,6.93
534,Grindavik,75,IS,1563678375,93,63.84,-22.43,55.4,10.29
535,Azangaro,48,PE,1563678376,58,-14.91,-70.2,36.95,1.57
536,Saint-Paul,90,FR,1563678376,93,45.22,1.9,68.0,1.61
537,Klaeng,100,TH,1563678376,76,12.78,101.65,84.0,8.19
538,Shwebo,100,MM,1563678376,73,22.57,95.7,84.83,4.14
539,Wattegama,100,LK,1563678376,85,7.35,80.68,76.91,6.64
540,Ketchikan,20,US,1563678377,63,55.34,-131.65,64.4,11.41
541,Santa Maria,0,BR,1563678377,63,-16.02,-48.01,62.6,3.36
